Very Disappointed!,"I sent this phone back and received a refund as Pure Talk or Straight Talk wouldn't work with this phone. I was very disappointed to spend so much time on trying to find a network that would work. Then upon returning the phone they kept about $60.00 from the original amount I paid, so I didn't get a full refund. I gave my reason that their website information on Amazon is wrong because this phone, even though it is a new phone, doesn't work with ALL CARRIERS! When 3G was shut down a few months ago, this particular phone doesn't work now. I found that out the hard way and verified this with the AT&amp;T site that shows what phones are still compatible after the shutdown. So disappointed!",2022年5月29日 在美国审核
Awesome look,Camera is so good n very fast phone back look is awesomeWith dis price segment it's worth it n d most important thing is the phone has dedicated memory card slot I think dis is the first one plus phone which has d dedicated slot for memory cardBattery backup is also good n wit the help of 65w charger u can charge ur phone frm 50-100% in just 15 minsIt has the super vooc charger frm Dat u can charge ur phone very fastVery smooth touch n very fast phone u can play games with no lagInternet connectivity is also fast n lightning wit my Jio sim as u can c I hav pasted one photo showing d downloading speed of 11mbps wit my cellular networkI think everyone who wants to buy dis phone just go for itI think oneplus launched dis phone with lots of good features n d most important thing is price is very lessI recommendJust go for itThank u oneplus n Amazon for dis wonderful product,2022年2月25日 在印度审核
Amazing Phone,"Best Operating system after iPhone so you and ur data is safe. Those who do all their banking transactions through mobile, understand it's need. Plus 3 years security update. That's really great thing.2. Camera is good enough. Sharp and zoom is really good. See attached photo taken from 5 th floor.3. AMOLED display is amazing. Difference noticed while watching movies on Netflix. It's super.4. No DTS however phone sound is quite loud. Can take calls on loudspeaker without any issue.5. No complaint in speed. I don't play games however tried and it did not disappoint me.6. No heating issue. Heats little bit while charging and it's obvious as it's 120 W, I believe. Charges mobile to 40% in just 10-15 minutes...7. 2 yes warranty. Seems like company is preety sure, it won't brake down.Conclusion: at this cost getting best OS and happy with that. Rest are not so important for me however phone did well on all areas.Best of luck Chinese company... Till the time India doesn't develop its own effective mobile, keep earning. We will catch you soon!!",2022年2月26日 在印度审核
One plus did it again!,"Was looking for a phone in this price range, to gift to my mom.Delivery person was very polite and courteous.My mother loved the phone.I kind of find the phone good value for money.Dedinately recommend to go for it, if you are looking for new phone in this price range, which is feature loaded and feels amazing to use",2022年2月26日 在印度审核
Great Cell,"Each and everything about this phone is surprising what was truly more than expected was the charging I literall placed on charge at 9:00 @ 18% battery and after my breakfast @ 9:17 it was 81%, I was shocked and that lasted an ample amount of time in office, have left taking charger to office. Also the night charging is great the phone automatically optimises how fast to charge the mobile so that it reaches 100% at 6 in the morning.Happy till now with the purchase.Though there is a downside I hated the google phone and contact app I am badly missing the stock OnePlus apps, this is OnePlus not some android phone please don't use third party apps just be yourself you are gr8.",2022年2月26日 在印度审核
Fantastic!!! Worth of every penny))),"Superb smart phone coz in this phone you are getting something more than hardware specification, and that is phone usage experience!!!If you are going to be first time user to oneplus phones... then you will definitely love it!Rating time!! Looks : 4.6/5Build quality : 4.4/5Hardware : 4.4/5Features : 4.7/5User interface : 4.8/5Display : 4.7/5Connectivity : 4.9/5Camera : 4.5/5Battery : 4.8/5Loudspeaker : 5/5Fingerprint sensor : 4.9/5Sim slot : 5/53.5 mm jack : yesLight weight and feel : 4.9/5Preinstalled Application management : 5/5IPX5 water resistant : yesIn box silicon back cover : 5/5Gaming performance : 4.5/5 ( no lags )Entertainment experience : 5/5Daily usage experience : 5/5Overall experience : 5/5Just one thing i don't like is that Google phone application, it gives an loud warning on recording call......But leaving this a side,device is just a perfect one! For every person...",2022年2月27日 在印度审核
Absolutely Fantastic Phone,"Here are some important points that I noticed about the smartphone :1. Best Operating system after iPhone so you and ur data is safe. Those who do all their banking transactions through mobile, understand it's need. Plus 3 years security update. That's really great thing.2. Camera is good enough. Sharp and zoom is really good.3. AMOLED display is amazing. Difference noticed while watching movies on Amazon Prime, Netflix etc. It's super.4. No DTS however phone sound is quite loud. Can take calls on loudspeaker without any issue.5. No complaint in speed. I don't play games however tried and it did not disappoint me.6. No heating issue. Heats little bit while charging and it's obvious as it's 120 W, I believe. Charges mobile to 40% in just 10-15 minutes...7. 2 years warranty. Seems like company is pretty sure, it won't brake down.Conclusion: at this cost getting best OS and happy with that. Rest are not so important for me however phone did well on all areas.I am thankful to the seller for providing me the phone in best condition and I thank Amazon for free and fast delivery.",2022年6月16日 在印度审核
A Fair Selection For your Light Use under 25k,"Over all..... Happy with The Product<br>I choose this as my secondary phone,I looked at the market for following things1) Fast Charging 2) 28 hour battery life3) On screen finger print4) light Game play5) fair Dimension The camera is fine but not suggestible for night photographyI upgraded to this phone from Samsung Galaxy C9 proBoth of them are Amoled DisplayFor me,What i have recieved more from OnePlus Norde CE2 than C9 pro are1) Upgraded Software2) More Optimised Apps3) Fairely Fast Charging when compared to C9 Pro3) On screen finger print and facial recognition4) Better Camera5) 20 hour of battery on constant Light useIt's One of the best Secondary phone for a Working ProfessionalU will be Happy not Exited..</br>",2022年5月15日 在印度审核
Ultimate Phone,"Am posting this review after 7 days usage. I was very skeptical to buy OnePlus phone, and was using Redmi phones since 7 yrs. But this time was upset on Redmi OS and bought OnePlus. Am very happy with this phone. No hang,no battery heat. Moderate usage will have two days battery life. Good camera. Very easy to carry with lighter weight. Go for it guys.",2022年3月3日 在印度审核
Best budget phone at this price!!!!,"This review is after 3 weeks of use of Oneplus nord ce2 5g (8gb 128gb)1. Pros- Display is good and gets quite bright in outdoors due to its claimed 800 nits brightness.- Supports upto 8 5G bands. Has wifi 6, bluetooth 5.2, nfc, dual 4G sims with expandable storage.- Mediatek dimensity 900 by no means is an efficienct chip and is a power hogger. But it packs a punch for day to day use. No lag and stutters. Snapdragon SOC fans might want to avoid this phone- Calls are clear and loud. Stereo speaker is single and is decent.- Screen refresh rate of 90hz is sufficient and the general use at 90hz feels smooth and fluid.- Under display fingerpriny reader is accurate and never misreads.2. Cons- Camera is decent and requires daylight to take crisp and crystal clear photos.- Battery life is 1 day for heavy users and is 2 days for light users. I got 8hrs of SOT with medium to heavy use. Mind that it was always on 90hz mode.Overall package is good and i'm totally satisfied with it.",2022年3月14日 在印度审核
Go for it if you are looking for high performance decent budget phone,Pros:First phone from OnePlus in this segment where dedicated memory card slot is available.65superVOC fast charging is amaaaazziingg..Rear camera is decent.Build quality is very good.Cons:Kabhi lagta hn k Oppo Reno 7 ko OnePlus k name badalke bech rahe hn..Front camera is not good.No notification light like in Redmi.No notification slider.,2022年3月1日 在印度审核
Ok !!! Not up to the mark,I'm writing this review after using 3days !!!Be to honest this is normal Android phoneIt's not like OnePlusCamera quality very low it says 64mp but notSound also lowBatterybackup ok !!! For one day normal use itsIf ur Gamer don't go for itOverall price it High for this handsetIf u really wanna buy OnePlus ho for higher end modelI'm first time buying OnePlusLittle disappointment,2022年2月26日 在印度审核
"Efficient, worthy!!","won't say it's pricey, definitely not that cheap either. this phone is very dear to me, for my day to day usage it fits into me like a ribbon and a gift. sweet performance and the battery and charging is legit the way i wanted. damn, a packed monster with ultra fast charging as a cherry on top definitely wins the tag that it holds. although android 12 didn't roll on this device yet but so for, this one just performs oneplus!!!definitely won't feel oppo if you guys are thinking it as otherwise but kind of does just a slight percent, definitely not more than 1, not gonna lie but in the end it is oneplus. truly. one fine produced phone in the market and glad that i chose this over the nord 2, had my heart over there too albeit wouldn't know about it.love this phone!!! everything is great, so far!",2022年4月18日 在印度审核
Value For Money,"I wanted to gift a fone to my parents, after a research of almost 20 days I ended up taking 2 mobiles of this Nord 2 5g...1) User friendly interface, specially for elder ones.2) Battery is long lasting3) Fingerprint senser is fast enough.4) The camera is satisfactory.5) Sound quality is wonderful.Overall the fone is worth the money.",2022年6月3日 在印度审核
Flagship Beast at a great great price!,Pros: 1) Premium Looks2) SuperVOOC Fast Charging is really Fast. Charges within half an hour. Great Battery Backup.3) Great Cam4) Awesome Display5) On Screen Fingerprint Sensor is fast.6) Seamless UICons: 1) Gaming is good but I believe could have better at this price point owing to Dimensity Processor upgrade.2) Camera is good but not as per One Plus Standards.Miscellaneous:1) Free Silicon Back Cover2) Red Cable Membership with 3 months extended warranty and 3 months Spotify Premium.,2022年3月27日 在印度审核
Nice product,Good working fingerprint and face lock. battery charger only 20 to 25 min.,2022年3月7日 在印度审核
Awesome product,1. Sound quality is good<br>2. Slim and light weight3. Cam is best4. Charging speed is awesomeBad is1. Slider is Missing2. Dolby speaker3. Wireless charging</br>,2022年2月26日 在印度审核
very nice smartphone used 15 days and reviewed,i am using this phone from last 15 days the performance that i got is osam fantastic i loved it my 25k worth it also a good quality of fingerprint sensor a camera quality somewhat ok according to price and also display is best in the segment we can see that oneplus is growing beacuse of its best affordable and featured smartfones best i loved it.,2022年3月29日 在印度审核
It's a good value for money device by one plus.,It's my first experience with one plus and has been good till now.I am not a gamer. But for multimedia and casual photos the experience has been good. In hand field is good and software experience is nice without any bloatware. The Bahamas blue colour is exotic. Well optimised Ram management. Single speaker but is of good quality. Earpiece is loud and clear. Signal quality is good. Carrier aggregation is working fine. Haptic motor is good. Charger is simply amazing. 30 mins full charge. You can go for it provided you are not a hardcore gamer.,2022年3月8日 在印度审核
Value for money,Pros:<br>Battery lifeCamera clarity is goodSmoothSuitable for gamingGorilla glassCons:Android version 11 but not latest one 12Bit bulkyBattery life is good 4500MAH but still will get 5000mah for less price in onepluseHowever it's really worth for 24000 budget..</br>,2022年5月28日 在印度审核
Value for money product.,I have been using this phone for about a week now and i am totally impressed with the performance if it.Value for money phone incase of specs.Battery decent enough which last for a day being extensively used for calling and texting.Best part is the charging as dont have to worry as its charges within no time.,2022年4月8日 在印度审核
More than expectation,Overall good phoneCamera: very goodBattery: good (can be use 24 hrs after full charge)Charge: very good. Only 40-45 min will take.Very slimLooking goodDisplay fingerprint fast,2022年3月1日 在印度审核
Value for money phone with premium look,"I purchased before 2 day's, this phone is as per my expectations like classy look, processor is fast, battery backup is ok not upto the mark and camera quality is good...rest I will tell later after using one month.Value for money phone",2022年2月27日 在印度审核
Excellent purchase at given price point,Best phone for low budget buyers. Review after usage of more than amonth1. Front Camera decent enough.2. Rear camera is excellent.3. Processor is powerful and works smoothly whenever you are gaming.4. Excellent purchase of OnePlus for budget buyers.,2022年5月2日 在印度审核
It's a great phone to buy!,"So it's been about a week that I am using this phone and I don't regret buying it. Its 90 Hz refresh rate is so smooth. Got two security patch updates too in a week which is really a great thing.The camera is really good. The phone looks premium and is lightweight and slim. It feels good in hand.Even though the speaker is mono firing speaker and not stereo speakers, it really is very loud. The screen is beautiful and there's Gorilla Glass 5 protection on the front and back.Now, coming to the battery, it easily lasts a whole day and it charges real quick and you're ready to use it whole day (100% battery)after just 35-40 mins of charge.I do casual gaming (BGMI and COD) and I didn't find any lag or jitter. So no complain about that.So overall satisfied with this phone so far.",2022年6月25日 在印度审核
Speachless with__Superfast charging,Pros : 1. Indisplay fingerprint sensor.2.100% charging in just 30 min3. Stylish design4. Decent camera quality5. Oxygen OS layerCons: 1. Phone is getting little heat on continues useage.2. No water proof IPX rating,2022年3月2日 在印度审核
I don't see anything wrong with it. It's just a good phone. Delivery was shite though!,"This was my first phone above 20k, and tbh, it's not bad. I'm not much of a phone user, except calls and messaging sometimes. And maybe stream some media and spotify mostly. But on average I register about 3-4 hours of use daily, so the battery life lasts me about a day and a half. Plus this is my first fast charging experience, so I'm happy with that. about 30 mins from 20% to a 100%. Not bad at all. Camera is good too. I won't use it much, but it's a nice feature regardless. everything works quite smooth and overall, a decent phone and quite sturdy too. Build quality is pretty damn good. My only gripe was the delivery. My first order apparently got misplaced by the incompetency of the delivery team. It roamed in my city for 4 days, and after a heated call with customer service, it was replaced with a new order immediately after. So no harm no foul!Overall I'd give it 4.5 stars. It gets the job done fast, and comes with a boatload of features too.",2022年4月6日 在印度审核
"Loved it, first time experiencing Stock Android without Bloatware","Pretty much everything is good, as an android phone most things remain same, refresh rate and charging speed are the top pros that I found and talking about top cons, they will surely be nothing but I think there could have been better camera quality in this budget segment.",2022年5月6日 在印度审核
Best smartphone,"Best smartphone by one plus1. Received my phone in just one day.2. Battery back up too good 3. Running all apps well, smooth4.price range is also okk5. But this phone brightness is not up to the mark. Rest all okkThanks to Amazon",2022年6月1日 在印度审核
Awesome 1+,"I have used this mobile of 8gb ram for a month. For 1+ fans, this mobile is awesome at below 25000 price, this mobile looks stylish, performance is too fast, graphics is awesome for high end games. As this mobile is a 5g mobile and if your budget is Rs20000-25000, you should buy this mobile. In box it does contain a fast charger.",2022年3月23日 在印度审核
Superb phone with not so superb camera!,*Positives*- The size is perfect. Those 6.67 inches is too big to hold.- light weight- amoled- ambient display- in display fingerprint- processor- 5g- built in Alexa- look and feel- design- 67 watt charging- camera designNegatives- Camera is not that good. I exchange this for poco X2 which has a lot lot better camera than this.,2022年4月15日 在印度审核
Excellent phone,Phone - ExcellentCamera - ExcellentBattery - GoodNegativeOnly problem with one plus is it's accessory. In case you lost its adapter or cable it's next to impossible to buy the original. Coz from one plus online store it's quite impossible to buy and in one plus stores it's always showing not available. One plus need to improve for availablility of accessories.,2022年4月27日 在印度审核
Not the very but a great smartphone in this price range.,Pros : 1. Its a OnePlus device2. Best connectivity you can have.3. Very sharp camera for outdoor photos.4. Doesn't hang or lags.5. Battery can last upto 1 and half day under normal to heavy usage.6. Charging was never better than this.7. The 3.5mm jack is back.8. Best part is dual sim with expandable memoryCons : 1. Could've given 120Hz refresh rate2. Only decent camera quality under low light.3. Though the speaker is loud but stereo speakers should've been provided.4. Could've come with Android 12,2022年3月20日 在印度审核
PLEASE DONT BUY ONE PLUS USELESS AND HOPELESS BRAND...,Dont buy one plus guys worst phone and the que in the support store will take hours....I bought CE 2 one month prior i got display blotting problem the service centre asked me to pay 6400 though the phone was not damaged.....utterly crap please don't buy one plus ....useless phone no value for money..in case you buy the phone sell it immediately completely useless...and one plus is a problematic brand long ques in service centres of no help....guys please don't buy one plus go for Samsung the trustworthy brand....,2022年4月23日 在印度审核
It's an absolute beauty!,"Beautiful phone. One plus never disappoints. Sound quality, battery backup and looks are supremely fantastic. The picture was taken while it was dark outside",2022年2月27日 在印度审核
Average features from OnePlus,"Only the branding is OnePlus not much good features are included in, fingerprint is not very fast, heating while video calls, sometimes hanging in phone, overall not good features like OnePlus known for.",2022年6月19日 在印度审核
Good built oneplus phone,"One plus phones are very sturdy,they are like samsung / apple top model phonesbut half the price.Software and photos are too good.I like my ear phone jack, which are becoming less in high end phones.Go for it.",2022年5月19日 在印度审核
Looks &amp; feel as well as the performance of this phone is very good.,"The performance of the phone is very good. It's been two weeks now and haven't seen any issues. Cameras are really good and nice pictures. Battery capacity could have been better with more mah (say 5000 mah and above), but the fast charging is just amazing. About 20 minutes, the battery is completely charged. Look and feel of the phone is nice. OnePlus phones are always charged at a premium price, but I feel the cost can be reduced.",2022年5月26日 在印度审核
Superb phone!!!,"I am using this phone for over 3 moths nowand it is working perfectly. Camera quality is fine specially night photography. Only thing I wish if they could give a 6k mah battery, right now it is a 4500 mah. The 65W charger is an advantage as it charges from 15 to 100% in 35-40 mins. So if you are in hurry a 15-20 mins charge will do.",2022年6月4日 在印度审核
Good One,"In this price ,awesome mobile from OnePlus.",2022年2月26日 在印度审核
So far pretty good,The product is really impressive. The back is steel body and has got good grip. Also the screen and features are fantastic. One plus is the finest maker compared to other Bbk electronics products. I got good feedback from OnePlus hence purchased. No regret so far.,2022年4月4日 在印度审核
It's a decent phone consisting of almost all features with a proper working.,"I like the phone it's beenmore than 2 months aince I bought it. I have zero complaints about it. And tha camera, battery, sensors, gestures, fingerprint, face recognition almost all features are absolutely amazing wait proper response and working. And being a OnePlus product I guess this phone can run for atleast 4-6 years without any issues if maintained properly. Worth the money",2022年6月5日 在印度审核
Budgeted Mobile Phone,"After writing this review my 1 month of usage,, phone look's stunning and performance too good.While using continuously 2 hrs getting heated .If you use more then 20 pic continuously you battery will come down suddenly.Front camera is the one thing one Plus missed completely.Even small budgeted Phone gives more clarity and good picture.but 1+ is ????Finally anyone want to buy 5g phone in budgeted seg. please look samsung",2022年3月31日 在印度审核
This phone is very very good,I gift it to my lovely wife on her birthday .She become very happy to get it before get it she was using Samsung but I want say really it is very smart then Samsung it is very light in weight easy to use comfert in price.,2022年5月26日 在印度审核
Good At Price Point,My only concern with this beautiful phone is plastic frame &amp; plastic back.. it must be aluminium frame with glaas back.. otherwise phone is super smooth nd best in class in performance,2022年3月21日 在印度审核
Worth to Buy with 25K,Firstly would like to say thank you so much Amazon for quick delivery.Writing review after using 15 days.90hz processor is quite impressive and Battery life easily sustainable for 16 -20 hours perhaps not playing games.Takes 30 minutes from 10 to 100% charging.Camera quality is not that bad. Overall i would say with 25k worth to buy.,2022年6月29日 在印度审核
"Good phone, go for it.","I bought the 8/128 Bahama Blue variant and so far impressed with the phone. The Dimensity 900 SoC is doing a fairly good job and the 8 5g bands makes it future-proof. Display and Camera are great. The 65W charging is quite fast however the phone does heat up a little during charging. The plastic back is a downside but you can use the backcover provided with the box. All in all, an excellent mid-range phone with the brand value of 1+.",2022年3月1日 在印度审核
GOOD PERFORMANCE,I RECEIVED THE ORDER ONE DAY BEFORE THE DELIVERY DATE;THE PRODUCT PERFORMANCE WAS TOO GOOD.BATTERY LIFE WAS LITTLE BIT LOW. BUT WE HAVE A PROVISION OF SPEED CHARGING FACILITY. SO IN 20 MINUTES; 80% CHARGING WILL BE REFILLED.SO THERE WAS NO POINT OF ISSUE REGARDING THAT PART.ABOUT THE SPEED AND QUALITY OF CAMERA WAS UPTO THE MARK.I SUGGEST ALL THE REVIEW READERS WERE THAT YOU CAN BUY THIS PRODUCT.,2022年4月15日 在印度审核
Overall a balanced phone for your parents!!,The phone is very lightweight and despite its plastic back does not feel its plastic... Moreover the performance is also good for an average person... The camera quality is good but in low light is performs below good..else the phone is good ,2022年3月29日 在印度审核
Value for many and OnePlus in 25k,It's a value for money i got it in 14699 as I exchange my poco m2 pro.All performance are good and camera not best but more than average.I recommen go for it,2022年3月1日 在印度审核
"Super, good product in pocket friendly price cemera quality is exlent",Cemera quality is most liked thing and charging speedBatary backup is dislike,2022年2月26日 在印度审核
Perfect..!!,Must buy smartphone to use it as a daily driver for the customers having this budget range. Smooth experience &amp; overall satisfied with its performance.,2022年6月16日 在印度审核
"This phone is dependent on the users point of view, what suits him/her the best.","Since this phone is an upgrade from my old phone ( Redmi 5 ), I might sound biased towards this phone but honestly speaking this phone actually surprised with its overall looks, feel and features its actual something you would like :)",2022年3月15日 在印度审核
Nice phone,"Processes is good, camer is good in outside light, in door condition it can be little better.UI is very good, no pre installed app..Just love it, OnePlus brand",2022年3月28日 在印度审核
Oneplus is committed to deliver what finds it the ever best,I literally dislike to post any such dislike observed in this mobile during my use till date.. Absolutely wonder in every aspect. Great performance recorded against all devices I have used so far since 2002. Total worth for your every penny. Not meant to burn a hole in one's pocket.. Great deal. Thnx.. oneplus# No.1Oneplus,2022年4月24日 在印度审核
Reviews of famous influencers are fake,"Best phone, the feel is just like iphone but in a affordable price. I was using mi which has so many preinstalled app but it has a very clean interface.Speed is also good.All good to have featuresDont go for paid reviews of other phone go for this phone it is very good and classy, slim",2022年6月12日 在印度审核
Scheme,"Dear Team Members ,Bring to notice &amp; thatThis product will be coverunder 3 month instalment without interest under Icici bank but here shown full amount under credit card statement . kindly check and reward back for the same .",2022年3月5日 在印度审核
One Plus Nord CE 2,I have using one plus Nord CE 2 on past two weeks it's having good features and user friendly to operate the mobile OS. Performance and camera quality quite good for this price range phone. Battery charging is very good with in 30 minutes battery fully charged and sensing of finger print and face detection is also good. This price range this spec phone is great.,2022年3月21日 在印度审核
Everything is Awesome,The phone looks damn good!The colour I bought looked fabulous.It has got everything you can demand from a budget phone.Pros1.Nice looks &amp; good buildClean UI2.Capable primary camera3.Good battery life and fast 65W chargingConsLow-light camera performance could be betterNo Android 12,2022年3月2日 在印度审核
"One of the best phones, at 20-25K prcie range, as per my interest goes.","Right of the box, the look and feel of the phone is amazing. Added to that is the 90hz display that feels crisp and smooth. Camera is a little off the mark when it comes to One Plus standards. It could have better.Overall a good option, when your tight on budget, but want a premium range phone.",2022年5月6日 在印度审核
Look at this very fantastic,1 Fingerprint gorgeous2And batteryLifeneither good nor bad3 Camera quality is very impressive,2022年3月27日 在印度审核
Worth for money One Plus Nord CE2.,"Awesome features in this upgraded One Plus Nord CE2.It is 65W charger, Get full battery in 30 minutes during Charing.Finger print sensor is very awesome.It will be more better if battery capacity to be higher than current.Camera quality is perfect.Recommended to buy it in this budget.",2022年4月10日 在印度审核
Overall phone is good in compare to MI note series,All things are good. May be they can work on battery capacity but good thing is that battery get full charged (15% to 100%) within 35-40 min.,2022年5月29日 在印度审核
